year,municip_name,species,municip_code,year_offset
2020,AbadiÃ±o,Vespa Velutina,48001,2019
2020,Abanto y CiÃ©rvana-Abanto Zierbena,Vespa Velutina,48002,2019
2020,Ajangiz,Vespa Velutina,48911,2019
2020,Alonsotegi,Vespa Velutina,48912,2019
2020,Amorebieta-Etxano,Vespa Velutina,48003,2019
2020,Amoroto,Vespa Velutina,48004,2019
2020,Arakaldo,Vespa Velutina,48005,2019
2020,Arantzazu,Vespa Velutina,48006,2019
2020,Areatza,Vespa Velutina,48093,2019
2020,Arrankudiaga,Vespa Velutina,48009,2019
2020,Arratzu,Vespa Velutina,48914,2019
2020,Arrieta,Vespa Velutina,48010,2019
2020,Arrigorriaga,Vespa Velutina,48011,2019
2020,Artea,Vespa Velutina,48023,2019
2020,Artzentales,Vespa Velutina,48008,2019
2020,Atxondo,Vespa Velutina,48091,2019
2020,Aulesti,Vespa Velutina,48070,2019
2020,Bakio,Vespa Velutina,48012,2019
2020,Balmaseda,Vespa Velutina,48090,2019
2020,Barakaldo,Vespa Velutina,48013,2019
2020,Barrika,Vespa Velutina,48014,2019
2020,Basauri,Vespa Velutina,48015,2019
2020,Bedia,Vespa Velutina,48092,2019
2020,Berango,Vespa Velutina,48016,2019
2020,Bermeo,Vespa Velutina,48017,2019
2020,Berriatua,Vespa Velutina,48018,2019
2020,Berriz,Vespa Velutina,48019,2019
2020,Busturia,Vespa Velutina,48021,2019
2020,Derio,Vespa Velutina,48901,2019
2020,Dima,Vespa Velutina,48026,2019
2020,Durango,Vespa Velutina,48027,2019
2020,Ea,Vespa Velutina,48028,2019
2020,Elantxobe,Vespa Velutina,48031,2019
2020,Elorrio,Vespa Velutina,48032,2019
2020,Erandio,Vespa Velutina,48902,2019
2020,EreÃ±o,Vespa Velutina,48033,2019
2020,Ermua,Vespa Velutina,48034,2019
2020,Errigoiti,Vespa Velutina,48079,2019
2020,Etxebarri,Vespa Velutina,48029,2019
2020,Etxebarria,Vespa Velutina,48030,2019
2020,Forua,Vespa Velutina,48906,2019
2020,Fruiz,Vespa Velutina,48035,2019
2020,Galdakao,Vespa Velutina,48036,2019
2020,Galdames,Vespa Velutina,48037,2019
2020,Gamiz-Fika,Vespa Velutina,48038,2019
2020,Garai,Vespa Velutina,48039,2019
2020,Gatika,Vespa Velutina,48040,2019
2020,Gautegiz Arteaga,Vespa Velutina,48041,2019
2020,Gernika-Lumo,Vespa Velutina,48046,2019
2020,Getxo,Vespa Velutina,48044,2019
2020,Gizaburuaga,Vespa Velutina,48047,2019
2020,Gordexola,Vespa Velutina,48042,2019
2020,Gorliz,Vespa Velutina,48043,2019
2020,GÃ¼eÃ±es,Vespa Velutina,48045,2019
2020,Ibarrangelu,Vespa Velutina,48048,2019
2020,Igorre,Vespa Velutina,48094,2019
2020,Ispaster,Vespa Velutina,48049,2019
2020,Iurreta,Vespa Velutina,48910,2019
2020,Izurtza,Vespa Velutina,48050,2019
2020,Karrantza Harana/Valle de Carranza,Vespa Velutina,48022,2019
2020,Kortezubi,Vespa Velutina,48907,2019
2020,Larrabetzu,Vespa Velutina,48052,2019
2020,Laukiz,Vespa Velutina,48053,2019
2020,Leioa,Vespa Velutina,48054,2019
2020,Lekeitio,Vespa Velutina,48057,2019
2020,Lemoa,Vespa Velutina,48055,2019
2020,Lemoiz,Vespa Velutina,48056,2019
2020,Lezama,Vespa Velutina,48081,2019
2020,Loiu,Vespa Velutina,48903,2019
2020,Mallabia,Vespa Velutina,48058,2019
2020,Markina-Xemein,Vespa Velutina,48060,2019
2020,Maruri-Jatabe,Vespa Velutina,48061,2019
2020,MaÃ±aria,Vespa Velutina,48059,2019
2020,Mendata,Vespa Velutina,48062,2019
2020,Mendexa,Vespa Velutina,48063,2019
2020,MeÃ±aka,Vespa Velutina,48064,2019
2020,Morga,Vespa Velutina,48066,2019
2020,Mundaka,Vespa Velutina,48068,2019
2020,Mungia,Vespa Velutina,48069,2019
2020,Munitibar-Arbatzegi Gerrikaitz,Vespa Velutina,48007,2019
2020,Murueta,Vespa Velutina,48908,2019
2020,Muskiz,Vespa Velutina,48071,2019
2020,Muxika,Vespa Velutina,48067,2019
2020,Nabarniz,Vespa Velutina,48909,2019
2020,Ondarroa,Vespa Velutina,48073,2019
2020,Orozko,Vespa Velutina,48075,2019
2020,Ortuella,Vespa Velutina,48083,2019
2020,Otxandio,Vespa Velutina,48072,2019
2020,Plentzia,Vespa Velutina,48077,2019
2020,Portugalete,Vespa Velutina,48078,2019
2020,Santurtzi,Vespa Velutina,48082,2019
2020,Sestao,Vespa Velutina,48084,2019
2020,Sondika,Vespa Velutina,48904,2019
2020,Sopela,Vespa Velutina,48085,2019
2020,Sopuerta,Vespa Velutina,48086,2019
2020,Sukarrieta,Vespa Velutina,48076,2019
2020,Trucios-Turtzioz,Vespa Velutina,48087,2019
2020,Ubide,Vespa Velutina,48088,2019
2020,Ugao-Miraballes,Vespa Velutina,48065,2019
2020,Urduliz,Vespa Velutina,48089,2019
2020,UrduÃ±a/OrduÃ±a,Vespa Velutina,48074,2019
2020,Valle de TrÃ¡paga-Trapagaran,Vespa Velutina,48080,2019
2020,Zaldibar,Vespa Velutina,48095,2019
2020,Zalla,Vespa Velutina,48096,2019
2020,Zamudio,Vespa Velutina,48905,2019
2020,Zaratamo,Vespa Velutina,48097,2019
2020,Zeanuri,Vespa Velutina,48024,2019
2020,Zeberio,Vespa Velutina,48025,2019
2020,Zierbena,Vespa Velutina,48913,2019
2020,Ziortza-Bolibar,Vespa Velutina,48915,2019
2020,Lanestosa,Vespa Velutina,48051,2019
